FOLIO_I,indice1,nseF,nse5F
2022_16052004,-2,89,1,1
2022_21212029,-1,36,1,1
2022_19021085,-1,39,1,1
2022_07058014,-1,64,1,1
2022_13046009,-,11,2,3
2022_20339006,-2,12,1,1
2022_09008033,-1,6,1,1
2022_20272025,-1,89,1,1
2022_07020010,-1,93,1,1
2022_20016005,-3,34,1,1
2022_20002018,-3,39,1,1
2022_15033011,-,32,2,2
2022_13076057,-1,65,1,1
2022_04008032,-2,12,1,1
2022_26047009,-2,62,1,1
2022_11020187,-,6,1,2
2022_26047016,-2,92,1,1
2022_07089005,-3,88,1,1
2022_29007025,-,5,1,2
2022_20016032,-4,49,1,1
2022_31041008,-,47,1,2
2022_15082012,-2,94,1,1
2022_19018034,-1,09,1,2
2022_07022004,-3,23,1,1
2022_19007030,-3,42,1,1
2022_07052005,-2,54,1,1
2022_15106011,-2,73,1,1
2022_21212030,-1,64,1,1
2022_04001005,-1,06,1,2
2022_29013021,-,87,1,2
2022_24028127,-,99,1,2
2022_19007023,-2,74,1,1
2022_23005049,,51,2,4
2022_30033006,-2,38,1,1
2022_20499009,-,24,2,2
2022_24021002,-1,65,1,1
2022_06010045,-,58,1,2
2022_23002026,-2,19,1,1
2022_17011014,1,02,3,4
2022_22011007,,53,2,4
2022_20076031,-2,14,1,1
2022_26019013,-,08,2,3
2022_14098010,-,56,1,2
2022_03008108,-,26,2,2
2022_30167009,-1,89,1,1
2022_11001003,-1,13,1,1
2022_04004018,-2,78,1,1
2022_21010007,-3,06,1,1
2022_03003018,-,54,1,2
2022_20339017,-2,4,1,1
2022_12032031,-,27,2,2
2022_11033016,-,54,1,2
2022_19006140,-,27,2,2
2022_32052011,-3,06,1,1
2022_32010004,-1,17,1,1
2022_12031010,-,83,1,2
2022_12007014,-2,47,1,1
2022_12001011,-1,35,1,1
2022_15106035,-,36,2,2
